car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,torque,seats,selling_price
Audi A6,Audi,A6,9,36000,Dealer,Diesel,Automatic,17.68,1968.0,174.33,200.0,5.0,1375000
Volvo XC60,Volvo,XC60,7,70252,Dealer,Diesel,Automatic,11.2,2400.0,215.0,190.0,5.0,1825000
Maruti Ertiga,Maruti,Ertiga,2,8400,Dealer,Petrol,Manual,19.01,1462.0,103.26,12.7,7.0,1075000
Tata Tiago,Tata,Tiago,2,23000,Dealer,Petrol,Manual,23.84,1199.0,84.0,12.7,5.0,445000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,48900,Dealer,Diesel,Automatic,14.84,2143.0,170.0,91.0,5.0,1395000
Hyundai Creta,Hyundai,Creta,4,90000,Individual,Petrol,Manual,15.29,1248.0,88.5,113.0,5.0,1180000
Ford Ecosport,Ford,Ecosport,4,14636,Dealer,Petrol,Manual,15.9,1496.0,120.69,250.0,5.0,725000
Mahindra XUV500,Mahindra,XUV500,5,36000,Individual,Diesel,Manual,16.0,1997.0,140.0,170.0,7.0,900000
Hyundai Verna,Hyundai,Verna,7,89000,Dealer,Diesel,Manual,22.32,1582.0,126.32,12.7,5.0,470000
Maruti Swift Dzire,Maruti,Swift Dzire,8,60855,Dealer,Petrol,Manual,19.1,1197.0,85.8,91.0,5.0,500000
Honda Jazz,Honda,Jazz,3,15000,Dealer,Diesel,Manual,27.3,1498.0,98.6,113.0,5.0,700000
Maruti Wagon R,Maruti,Wagon R,6,39983,Dealer,Petrol,Manual,21.79,998.0,67.05,190.0,5.0,425000
Hyundai Creta,Hyundai,Creta,6,65000,Dealer,Diesel,Manual,19.67,1582.0,126.2,91.0,5.0,849000
Renault KWID,Renault,KWID,3,20000,Individual,Petrol,Automatic,24.04,999.0,67.0,24.0,5.0,330000
Volkswagen Polo,Volkswagen,Polo,4,25000,Individual,Diesel,Manual,20.14,1248.0,88.5,113.0,5.0,750000
Mercedes-Benz CLS,Mercedes-Benz,CLS,7,33000,Dealer,Petrol,Automatic,9.26,3498.0,306.0,12.7,4.0,3600000
Ford Figo,Ford,Figo,7,105000,Individual,Petrol,Manual,15.6,1196.0,70.02,170.0,5.0,285000
Datsun GO,Datsun,GO,4,44000,Dealer,Petrol,Manual,19.02,1198.0,67.05,170.0,5.0,255000
Maruti Ciaz,Maruti,Ciaz,2,11564,Dealer,Petrol,Manual,20.73,1373.0,88.5,200.0,5.0,895000
Maruti Swift,Maruti,Swift,7,44235,Dealer,Diesel,Manual,25.2,1248.0,74.0,170.0,5.0,410000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,7,10000,Individual,Diesel,Automatic,13.0,2143.0,201.1,250.0,5.0,3600000
Renault KWID,Renault,KWID,3,10103,Dealer,Petrol,Manual,25.17,799.0,53.3,12.7,5.0,325000
Hyundai i20,Hyundai,i20,5,62000,Dealer,Diesel,Manual,22.54,1396.0,88.73,12.7,5.0,580000
Maruti Baleno,Maruti,Baleno,2,14000,Dealer,Petrol,Automatic,19.56,1197.0,81.8,170.0,5.0,875000
Mahindra Scorpio,Mahindra,Scorpio,3,39000,Dealer,Diesel,Manual,16.36,2179.0,140.0,250.0,7.0,1275000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,60000,Dealer,Diesel,Automatic,15.8,2143.0,170.0,24.0,5.0,1125000
Honda Amaze,Honda,Amaze,5,25000,Individual,Petrol,Manual,17.8,1198.0,86.7,12.7,5.0,750000
Ford Figo,Ford,Figo,11,90000,Individual,Petrol,Manual,15.6,1196.0,70.0,113.0,5.0,200000
BMW 3,BMW,3,12,15000,Individual,Petrol,Automatic,12.05,1995.0,154.0,113.0,5.0,750000
Hyundai Verna,Hyundai,Verna,8,65278,Dealer,Diesel,Manual,22.32,1582.0,126.32,91.0,5.0,425000
Mahindra Thar,Mahindra,Thar,8,56000,Dealer,Diesel,Manual,16.55,2498.0,105.0,12.7,7.0,515000
Honda WR-V,Honda,WR-V,4,80000,Individual,Petrol,Manual,17.5,1199.0,88.7,24.0,5.0,700000
Hyundai Verna,Hyundai,Verna,3,11500,Dealer,Petrol,Manual,17.43,1396.0,105.5,170.0,5.0,825000
Lexus ES,Lexus,ES,3,28000,Dealer,Petrol,Automatic,19.62,2487.0,88.5,113.0,5.0,3990000
Maruti Vitara,Maruti,Vitara,5,42000,Dealer,Diesel,Manual,19.62,1248.0,88.5,170.0,5.0,725000
Honda City,Honda,City,11,78000,Dealer,Petrol,Manual,17.0,1497.0,118.0,113.0,5.0,340000
Ford Freestyle,Ford,Freestyle,2,17000,Individual,Petrol,Manual,19.0,1194.0,94.68,200.0,5.0,630000
Ford Ecosport,Ford,Ecosport,5,66000,Individual,Diesel,Manual,22.77,1498.0,98.59,170.0,5.0,800000
Honda Amaze,Honda,Amaze,7,78000,Dealer,Petrol,Manual,18.0,1198.0,86.7,250.0,5.0,420000
Mahindra Scorpio,Mahindra,Scorpio,4,68000,Dealer,Diesel,Manual,15.4,2179.0,120.0,91.0,8.0,1269000
Honda WR-V,Honda,WR-V,1,5000,Individual,Petrol,Manual,17.5,1199.0,88.7,24.0,5.0,925000
Toyota Innova,Toyota,Innova,11,48000,Dealer,Diesel,Manual,12.8,1248.0,102.0,113.0,8.0,525000
Toyota Innova,Toyota,Innova,8,100000,Dealer,Diesel,Manual,12.99,2494.0,100.0,91.0,7.0,980000
Hyundai Creta,Hyundai,Creta,6,72000,Dealer,Diesel,Manual,19.67,1582.0,126.2,91.0,5.0,950000
Maruti Alto,Maruti,Alto,7,40000,Individual,Petrol,Manual,22.74,796.0,47.3,190.0,5.0,230000
Mahindra XUV500,Mahindra,XUV500,6,35000,Individual,Diesel,Manual,15.1,2179.0,140.0,113.0,7.0,1080000
Honda City,Honda,City,14,65000,Dealer,Petrol,Manual,17.7,1497.0,78.0,12.7,5.0,110000
Hyundai Verna,Hyundai,Verna,11,50111,Dealer,Diesel,Manual,16.2,1493.0,110.0,24.0,5.0,199000
Mahindra Scorpio,Mahindra,Scorpio,5,56000,Dealer,Diesel,Manual,15.4,2179.0,120.0,12.7,7.0,1075000
Maruti Swift Dzire,Maruti,Swift Dzire,4,60000,Dealer,Diesel,Automatic,28.4,1248.0,74.02,113.0,5.0,750000
Toyota Innova,Toyota,Innova,8,387000,Individual,Diesel,Manual,12.99,2494.0,100.6,91.0,8.0,700000
Tata Hexa,Tata,Hexa,4,41723,Dealer,Diesel,Manual,17.6,2179.0,153.86,170.0,5.0,1350000
Hyundai i20,Hyundai,i20,4,33181,Trustmark Dealer,Petrol,Manual,19.62,1197.0,81.83,113.0,5.0,625000
Maruti Wagon R,Maruti,Wagon R,1,10000,Individual,Petrol,Manual,20.52,1197.0,81.8,113.0,5.0,500000
Renault Duster,Renault,Duster,4,850000,Dealer,Diesel,Manual,19.87,1461.0,83.8,170.0,5.0,850000
Maruti Wagon R,Maruti,Wagon R,2,17000,Individual,Petrol,Manual,20.52,1197.0,81.8,190.0,5.0,550000
Maruti Swift,Maruti,Swift,2,18800,Dealer,Petrol,Manual,20.4,1197.0,83.11,91.0,5.0,515000
Toyota Innova,Toyota,Innova,4,60100,Dealer,Diesel,Automatic,11.36,2755.0,171.5,113.0,7.0,1750000
Maruti Swift Dzire,Maruti,Swift Dzire,8,21000,Individual,Petrol,Manual,17.5,1298.0,85.8,250.0,5.0,470000
Maruti Ignis,Maruti,Ignis,3,5000,Individual,Petrol,Automatic,20.89,1197.0,81.8,190.0,5.0,570000
Volkswagen Vento,Volkswagen,Vento,8,65000,Dealer,Diesel,Manual,19.62,1598.0,103.6,91.0,5.0,385000
Honda Amaze,Honda,Amaze,7,36001,Dealer,Diesel,Manual,25.8,1498.0,98.6,12.7,5.0,485000
Hyundai i20,Hyundai,i20,5,51000,Dealer,Petrol,Manual,18.6,1197.0,81.83,91.0,5.0,550000
Maruti Ertiga,Maruti,Ertiga,6,98000,Dealer,Diesel,Manual,25.47,1248.0,88.5,113.0,7.0,750000
Renault Triber,Renault,Triber,2,2709,Dealer,Petrol,Manual,20.0,999.0,71.0,113.0,7.0,575000
Renault KWID,Renault,KWID,3,30941,Dealer,Petrol,Manual,23.01,999.0,88.5,170.0,5.0,354000
Mahindra Bolero,Mahindra,Bolero,10,30000,Individual,Diesel,Manual,13.6,2523.0,63.0,91.0,7.0,425000
Volvo S90,Volvo,S90,2,25000,Dealer,Diesel,Automatic,18.0,1969.0,190.0,250.0,5.0,4500000
Volkswagen Vento,Volkswagen,Vento,9,70000,Individual,Diesel,Manual,20.54,1248.0,103.6,113.0,5.0,280000
Hyundai i20,Hyundai,i20,4,20000,Individual,Petrol,Manual,18.6,1197.0,81.83,91.0,5.0,600000
Audi A4,Audi,A4,8,55500,Dealer,Diesel,Automatic,15.2,1968.0,140.8,190.0,5.0,1500000
Honda Amaze,Honda,Amaze,6,66000,Dealer,Diesel,Manual,25.8,1498.0,98.6,170.0,5.0,388000
Tata Nexon,Tata,Nexon,4,41000,Dealer,Diesel,Manual,21.5,1497.0,108.5,200.0,5.0,825000
Maruti Wagon R,Maruti,Wagon R,9,45000,Dealer,Petrol,Manual,14.0,1061.0,64.0,250.0,5.0,236000
Maruti Wagon R,Maruti,Wagon R,8,55853,Dealer,Cng,Manual,33.54,998.0,67.04,91.0,5.0,349000
Maruti Swift,Maruti,Swift,5,30000,Dealer,Petrol,Manual,22.0,1197.0,81.8,12.7,5.0,575000
Maruti Baleno,Maruti,Baleno,4,20000,Dealer,Petrol,Manual,21.01,1197.0,81.8,200.0,5.0,770000
Toyota Innova,Toyota,Innova,4,67000,Dealer,Diesel,Manual,13.68,2393.0,147.8,200.0,7.0,1550000
Hyundai i20,Hyundai,i20,9,55000,Dealer,Petrol,Manual,18.5,1197.0,80.0,24.0,5.0,265000
Hyundai i20,Hyundai,i20,1,7120,Individual,Petrol,Manual,18.6,1197.0,81.86,24.0,5.0,690000
Hyundai Venue,Hyundai,Venue,2,9500,Dealer,Petrol,Manual,19.62,998.0,118.35,170.0,5.0,835000
Audi Q7,Audi,Q7,7,120000,Individual,Diesel,Automatic,12.07,2967.0,241.4,113.0,7.0,2400000
Mahindra XUV500,Mahindra,XUV500,4,60000,Dealer,Diesel,Automatic,16.0,2179.0,140.0,12.7,7.0,1250000
Mahindra KUV,Mahindra,KUV,5,35000,Individual,Diesel,Manual,25.32,1248.0,77.0,113.0,6.0,700000
Maruti Wagon R,Maruti,Wagon R,3,36274,Dealer,Cng,Manual,19.62,998.0,58.16,200.0,5.0,455000
Ford Aspire,Ford,Aspire,6,90000,Individual,Diesel,Manual,25.83,1498.0,99.0,91.0,5.0,410000
Hyundai Elantra,Hyundai,Elantra,6,83000,Dealer,Diesel,Automatic,18.23,1582.0,126.2,91.0,5.0,841000
Maruti Swift Dzire,Maruti,Swift Dzire,2,5000,Individual,Petrol,Manual,21.21,1197.0,81.8,113.0,5.0,730000
Maruti Wagon R,Maruti,Wagon R,6,80000,Individual,Cng,Manual,26.6,998.0,58.16,24.0,5.0,300000
Honda Civic,Honda,Civic,10,70000,Individual,Petrol,Manual,14.8,1799.0,130.2,91.0,5.0,400000
Hyundai Creta,Hyundai,Creta,2,5000,Individual,Petrol,Automatic,19.62,1591.0,121.3,113.0,5.0,1350000
Honda Amaze,Honda,Amaze,8,64000,Dealer,Diesel,Manual,25.8,1498.0,98.6,200.0,5.0,325000
Maruti Ciaz,Maruti,Ciaz,4,27400,Dealer,Petrol,Manual,20.73,1373.0,91.1,170.0,5.0,655000
Maruti Swift Dzire,Maruti,Swift Dzire,8,41170,Dealer,Petrol,Manual,19.1,1197.0,85.8,200.0,5.0,380000
Hyundai Santro,Hyundai,Santro,14,80000,Individual,Petrol,Manual,17.8,1086.0,63.0,200.0,5.0,110000
Mahindra XUV500,Mahindra,XUV500,4,43464,Dealer,Diesel,Automatic,16.0,2179.0,140.0,200.0,7.0,1200000
Maruti Swift Dzire,Maruti,Swift Dzire,5,29456,Dealer,Petrol,Manual,17.5,1197.0,85.8,12.7,5.0,550000
Maruti Swift Dzire,Maruti,Swift Dzire,8,154000,Individual,Petrol,Manual,19.1,1197.0,85.8,24.0,5.0,420000
Maruti Ertiga,Maruti,Ertiga,4,45000,Dealer,Petrol,Manual,17.5,1373.0,91.1,24.0,7.0,760000
Maruti Alto,Maruti,Alto,6,34000,Individual,Petrol,Manual,22.74,796.0,47.3,24.0,5.0,255000
Toyota Innova,Toyota,Innova,11,94000,Dealer,Diesel,Manual,12.8,2494.0,102.0,12.7,8.0,675000
Mahindra XUV500,Mahindra,XUV500,4,25000,Dealer,Diesel,Manual,16.0,2179.0,140.0,113.0,7.0,1150000
Ford Figo,Ford,Figo,10,38256,Dealer,Petrol,Manual,15.6,1196.0,70.0,24.0,5.0,220000
Tata Tiago,Tata,Tiago,2,10000,Individual,Petrol,Manual,23.84,1199.0,84.0,91.0,5.0,510000
Mahindra Scorpio,Mahindra,Scorpio,7,100000,Individual,Diesel,Manual,12.05,2179.0,120.0,24.0,8.0,700000
Honda City,Honda,City,6,60000,Dealer,Diesel,Manual,26.0,1498.0,98.6,190.0,5.0,595000
Maruti Wagon R,Maruti,Wagon R,12,78000,Dealer,Lpg,Manual,26.2,998.0,58.2,24.0,5.0,175000
Hyundai Grand,Hyundai,Grand,6,23787,Dealer,Petrol,Manual,18.9,1197.0,82.0,113.0,5.0,515000
Mahindra Thar,Mahindra,Thar,4,55000,Dealer,Diesel,Manual,16.55,2498.0,105.0,170.0,6.0,850000
BMW 3,BMW,3,7,70400,Dealer,Diesel,Automatic,18.88,1995.0,184.0,12.7,5.0,2045000
Maruti Swift Dzire,Maruti,Swift Dzire,11,100000,Individual,Diesel,Manual,19.3,1248.0,73.9,91.0,5.0,200000
Hyundai i10,Hyundai,i10,7,36971,Dealer,Petrol,Manual,19.62,1086.0,68.05,12.7,5.0,310000
Maruti Swift Dzire,Maruti,Swift Dzire,9,100000,Individual,Diesel,Manual,19.3,1248.0,73.9,190.0,5.0,300000
Maruti Wagon R,Maruti,Wagon R,8,70000,Individual,Cng,Manual,26.6,998.0,58.16,91.0,5.0,270000
Maruti Alto,Maruti,Alto,4,33000,Dealer,Petrol,Manual,24.7,796.0,47.3,170.0,5.0,330000
Maruti Wagon R,Maruti,Wagon R,7,30000,Individual,Petrol,Manual,20.51,998.0,67.06,24.0,5.0,325000
Maruti Swift Dzire,Maruti,Swift Dzire,8,55002,Dealer,Diesel,Manual,26.59,1248.0,74.0,250.0,5.0,550000
Toyota Innova,Toyota,Innova,9,85000,Dealer,Diesel,Manual,12.8,2494.0,102.0,200.0,7.0,575000
Maruti Swift Dzire,Maruti,Swift Dzire,7,115000,Individual,Diesel,Manual,19.62,1248.0,88.5,250.0,5.0,521000
Maruti Celerio,Maruti,Celerio,2,23400,Dealer,Petrol,Manual,21.63,998.0,67.05,113.0,5.0,515000
Hyundai Santro,Hyundai,Santro,8,64000,Dealer,Petrol,Manual,17.92,1086.0,62.1,24.0,5.0,240000
BMW X5,BMW,X5,11,96714,Dealer,Diesel,Automatic,11.0,2993.0,235.0,250.0,5.0,1375000
Maruti Swift Dzire,Maruti,Swift Dzire,6,77482,Dealer,Diesel,Manual,26.59,1248.0,74.0,24.0,5.0,552000
Mahindra Thar,Mahindra,Thar,3,40000,Individual,Diesel,Manual,16.55,2498.0,105.0,113.0,6.0,850000
Ford Ecosport,Ford,Ecosport,8,89005,Dealer,Diesel,Manual,19.62,1248.0,89.84,113.0,5.0,450000
Hyundai Creta,Hyundai,Creta,6,72248,Dealer,Diesel,Manual,19.67,1582.0,126.2,170.0,5.0,1000000
Ford Freestyle,Ford,Freestyle,3,40000,Individual,Diesel,Manual,24.4,1498.0,98.63,24.0,5.0,650000
Maruti Wagon R,Maruti,Wagon R,9,37623,Dealer,Petrol,Manual,20.51,998.0,67.04,200.0,5.0,296000
Hyundai Venue,Hyundai,Venue,1,5000,Dealer,Diesel,Manual,23.7,1493.0,98.6,170.0,5.0,890000
Maruti Wagon R,Maruti,Wagon R,8,30000,Individual,Petrol,Manual,18.9,998.0,67.1,113.0,5.0,285000
Hyundai Creta,Hyundai,Creta,2,40000,Individual,Diesel,Manual,22.1,1396.0,88.7,200.0,5.0,1100000
Datsun RediGO,Datsun,RediGO,4,13000,Individual,Petrol,Manual,22.7,799.0,53.64,190.0,5.0,215000
Hyundai i20,Hyundai,i20,8,35858,Dealer,Petrol,Manual,18.5,1197.0,82.85,190.0,5.0,350000
Honda Amaze,Honda,Amaze,8,38872,Dealer,Petrol,Manual,18.6,1199.0,88.76,200.0,5.0,365000
Renault Duster,Renault,Duster,7,67647,Dealer,Diesel,Manual,19.87,1461.0,83.8,91.0,5.0,575000
Hyundai Grand,Hyundai,Grand,4,41000,Dealer,Petrol,Manual,18.9,1197.0,82.0,200.0,5.0,520000
Mahindra Scorpio,Mahindra,Scorpio,11,120000,Individual,Diesel,Manual,14.0,2523.0,75.0,12.7,7.0,200000
Hyundai Elantra,Hyundai,Elantra,8,77000,Individual,Diesel,Manual,22.7,1582.0,126.24,190.0,5.0,600000
Toyota Innova,Toyota,Innova,4,70000,Individual,Diesel,Manual,13.68,2393.0,147.8,200.0,8.0,1380000
Honda City,Honda,City,13,59500,Dealer,Petrol,Manual,17.0,1497.0,118.0,200.0,5.0,220000
Hyundai i20,Hyundai,i20,4,44000,Dealer,Petrol,Manual,18.6,1197.0,81.83,170.0,5.0,550000
Maruti Wagon R,Maruti,Wagon R,2,8873,Trustmark Dealer,Petrol,Automatic,21.5,1197.0,81.8,170.0,5.0,540000
Audi A6,Audi,A6,10,110000,Dealer,Diesel,Automatic,17.68,1968.0,174.33,190.0,5.0,1000000
Maruti Baleno,Maruti,Baleno,1,2000,Dealer,Petrol,Manual,21.4,1197.0,83.1,91.0,5.0,675000
Hyundai i20,Hyundai,i20,3,32000,Dealer,Petrol,Manual,18.6,1197.0,81.83,91.0,5.0,690000
Maruti Swift Dzire,Maruti,Swift Dzire,9,82000,Dealer,Diesel,Manual,26.59,1248.0,74.0,113.0,5.0,481000
Ford Figo,Ford,Figo,6,61879,Dealer,Diesel,Manual,20.0,1399.0,68.05,113.0,5.0,450000
Ford Endeavour,Ford,Endeavour,5,89000,Dealer,Diesel,Automatic,10.91,3198.0,197.0,24.0,7.0,2395000
Ford Ecosport,Ford,Ecosport,3,36000,Dealer,Diesel,Manual,23.0,1498.0,98.96,170.0,5.0,825000
Maruti Swift Dzire,Maruti,Swift Dzire,6,25000,Individual,Petrol,Manual,20.85,1197.0,83.14,91.0,5.0,460000
Maruti Ignis,Maruti,Ignis,3,15000,Individual,Petrol,Manual,20.89,1197.0,81.8,24.0,5.0,550000
Honda Amaze,Honda,Amaze,4,40000,Individual,Petrol,Manual,17.8,1198.0,86.7,190.0,5.0,500000
Hyundai Verna,Hyundai,Verna,8,79345,Dealer,Diesel,Manual,22.32,1582.0,126.32,190.0,5.0,550000
Tata Nexon,Tata,Nexon,2,40000,Individual,Diesel,Manual,21.5,1497.0,108.5,200.0,5.0,900000
Mahindra Scorpio,Mahindra,Scorpio,9,80000,Individual,Diesel,Manual,12.05,2179.0,120.0,24.0,9.0,600000
Maruti Wagon R,Maruti,Wagon R,4,16000,Individual,Petrol,Manual,20.51,998.0,67.04,250.0,5.0,425000
Hyundai Creta,Hyundai,Creta,6,65000,Dealer,Diesel,Automatic,17.6,1582.0,126.2,200.0,5.0,835000
Renault Duster,Renault,Duster,2,34000,Individual,Diesel,Manual,19.6,1461.0,108.45,190.0,5.0,900000
Ford Ecosport,Ford,Ecosport,5,35000,Dealer,Petrol,Automatic,16.05,1499.0,110.4,200.0,5.0,721000
Maruti Swift,Maruti,Swift,6,50000,Dealer,Petrol,Automatic,22.0,1197.0,81.8,250.0,5.0,450000
Volkswagen Polo,Volkswagen,Polo,6,87000,Dealer,Petrol,Automatic,17.21,1197.0,103.5,200.0,5.0,600000
Toyota Innova,Toyota,Innova,2,22000,Dealer,Diesel,Automatic,11.36,2755.0,171.5,170.0,7.0,1885000
Toyota Fortuner,Toyota,Fortuner,4,46975,Dealer,Diesel,Automatic,12.9,2755.0,174.5,91.0,7.0,3080000
Honda WR-V,Honda,WR-V,3,22000,Dealer,Diesel,Manual,25.5,1498.0,98.6,250.0,5.0,895000
Hyundai i20,Hyundai,i20,4,35000,Dealer,Diesel,Manual,22.54,1396.0,88.73,113.0,5.0,580000
Maruti Ertiga,Maruti,Ertiga,5,61149,Dealer,Petrol,Manual,19.01,1462.0,103.26,12.7,7.0,755000
Maruti Swift Dzire,Maruti,Swift Dzire,8,64000,Individual,Petrol,Manual,19.1,1197.0,85.8,91.0,5.0,350000
Maruti Swift,Maruti,Swift,6,70000,Individual,Diesel,Manual,25.2,1248.0,74.0,250.0,5.0,525000
Maruti Swift,Maruti,Swift,5,43000,Dealer,Petrol,Manual,22.0,1197.0,81.8,24.0,5.0,589000
Maruti Alto,Maruti,Alto,10,40000,Individual,Petrol,Manual,19.7,796.0,46.3,91.0,5.0,170000
Hyundai Grand,Hyundai,Grand,6,15000,Dealer,Petrol,Automatic,18.9,1197.0,81.86,250.0,5.0,525000
Maruti Wagon R,Maruti,Wagon R,5,18307,Dealer,Petrol,Automatic,20.51,998.0,67.0,200.0,5.0,415000
Renault KWID,Renault,KWID,3,23000,Dealer,Petrol,Manual,23.01,999.0,67.0,24.0,5.0,310000
Honda Amaze,Honda,Amaze,2,16000,Individual,Petrol,Manual,19.5,1199.0,88.76,113.0,5.0,725000
BMW 3,BMW,3,8,59000,Dealer,Diesel,Automatic,13.2,1995.0,170.0,12.7,5.0,835000
Ford Figo,Ford,Figo,11,35000,Individual,Petrol,Manual,15.6,1196.0,70.0,170.0,5.0,275000
Maruti Swift,Maruti,Swift,10,30000,Individual,Petrol,Manual,16.1,1197.0,85.0,113.0,5.0,410000
Hyundai Verna,Hyundai,Verna,12,74475,Dealer,Diesel,Manual,16.8,1493.0,110.0,250.0,5.0,260000
Maruti Ciaz,Maruti,Ciaz,5,110000,Individual,Diesel,Manual,28.09,1248.0,88.5,170.0,5.0,550000
Hyundai i20,Hyundai,i20,6,90000,Individual,Diesel,Manual,22.54,1396.0,88.73,24.0,5.0,500000
Hyundai Grand,Hyundai,Grand,7,82530,Dealer,Petrol,Manual,18.9,1197.0,82.0,24.0,5.0,490000
Tata Safari,Tata,Safari,2,30000,Individual,Diesel,Manual,14.1,2179.0,153.86,200.0,7.0,1270000
Hyundai Grand,Hyundai,Grand,3,31834,Dealer,Diesel,Manual,24.0,1186.0,73.97,24.0,5.0,598000
Audi A4,Audi,A4,9,120000,Individual,Petrol,Automatic,10.8,1984.0,132.0,190.0,5.0,1100000
Skoda Rapid,Skoda,Rapid,8,42000,Dealer,Petrol,Manual,15.0,1598.0,103.5,170.0,5.0,375000
Volkswagen Polo,Volkswagen,Polo,8,70000,Dealer,Diesel,Manual,22.07,1199.0,73.9,200.0,5.0,365000
Land Rover Rover,Land Rover,Rover,9,66000,Dealer,Diesel,Automatic,12.35,2179.0,187.74,91.0,5.0,1450000
BMW 3,BMW,3,10,56000,Dealer,Diesel,Automatic,16.07,1995.0,181.0,12.7,5.0,690000
Hyundai i20,Hyundai,i20,3,25645,Dealer,Diesel,Manual,22.54,1396.0,88.73,190.0,5.0,780000
Maruti Ertiga,Maruti,Ertiga,4,19000,Dealer,Diesel,Manual,19.62,1248.0,88.5,12.7,7.0,895000
Hyundai Verna,Hyundai,Verna,13,85753,Dealer,Diesel,Manual,18.1,1493.0,110.0,24.0,5.0,250000
Maruti Alto,Maruti,Alto,9,65535,Dealer,Petrol,Manual,19.7,796.0,46.3,113.0,5.0,275000
Ford Freestyle,Ford,Freestyle,2,8600,Individual,Petrol,Manual,19.0,1194.0,94.68,190.0,5.0,780000
Maruti Swift,Maruti,Swift,5,90000,Individual,Petrol,Manual,19.62,1197.0,81.8,12.7,5.0,500000
Ford Aspire,Ford,Aspire,3,50000,Individual,Diesel,Manual,26.1,1498.0,99.23,200.0,5.0,800000
Maruti Ertiga,Maruti,Ertiga,4,27000,Dealer,Cng,Manual,17.5,1373.0,80.46,250.0,7.0,811000
Datsun GO,Datsun,GO,6,20000,Individual,Petrol,Manual,20.63,1198.0,67.06,170.0,5.0,250000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,66000,Dealer,Diesel,Automatic,19.27,2143.0,170.0,190.0,5.0,1365000
Hyundai i10,Hyundai,i10,7,60000,Individual,Petrol,Manual,20.36,1197.0,78.9,113.0,5.0,276000
Hyundai i20,Hyundai,i20,4,14000,Individual,Petrol,Manual,18.6,1197.0,88.5,200.0,5.0,525000
Hyundai Creta,Hyundai,Creta,3,40000,Dealer,Diesel,Manual,21.4,1248.0,113.42,113.0,5.0,1075000
Maruti Swift Dzire,Maruti,Swift Dzire,12,76963,Individual,Petrol,Manual,19.62,1248.0,85.8,113.0,5.0,230000
Datsun RediGO,Datsun,RediGO,4,20000,Individual,Petrol,Manual,22.7,799.0,53.64,12.7,5.0,225000
BMW 3,BMW,3,4,50000,Dealer,Diesel,Automatic,19.59,1995.0,184.0,24.0,5.0,3300000
Maruti Ciaz,Maruti,Ciaz,3,27000,Dealer,Diesel,Manual,28.09,1248.0,88.5,24.0,5.0,965000
Ford Figo,Ford,Figo,9,32000,Dealer,Petrol,Manual,15.6,1196.0,70.02,91.0,5.0,315000
Tata Nexon,Tata,Nexon,2,6000,Individual,Petrol,Manual,17.0,1248.0,108.5,113.0,5.0,750000
Hyundai i20,Hyundai,i20,9,73000,Dealer,Diesel,Manual,23.0,1396.0,90.0,250.0,5.0,395000
Hyundai Verna,Hyundai,Verna,8,60000,Dealer,Diesel,Manual,19.62,1582.0,126.2,113.0,5.0,485000
Volkswagen Vento,Volkswagen,Vento,6,43000,Individual,Petrol,Manual,15.04,1598.0,103.2,24.0,5.0,489000
Hyundai Verna,Hyundai,Verna,9,74000,Dealer,Petrol,Manual,17.1,1591.0,121.3,250.0,5.0,415000
Hyundai i10,Hyundai,i10,12,15000,Individual,Petrol,Manual,20.36,1197.0,78.9,91.0,5.0,165000
Tata Nexon,Tata,Nexon,3,66817,Individual,Diesel,Manual,21.5,1497.0,108.5,250.0,5.0,665000
Renault KWID,Renault,KWID,3,12500,Individual,Petrol,Automatic,24.04,999.0,67.0,190.0,5.0,345000
Maruti Celerio,Maruti,Celerio,6,52000,Dealer,Petrol,Automatic,23.1,998.0,67.04,24.0,5.0,450000
Mini Cooper,Mini,Cooper,3,22000,Dealer,Petrol,Automatic,17.33,1998.0,189.08,190.0,4.0,3875000
Mahindra Scorpio,Mahindra,Scorpio,4,120000,Individual,Diesel,Manual,15.4,1997.0,120.0,91.0,7.0,1000000
Honda Amaze,Honda,Amaze,3,25000,Individual,Petrol,Manual,17.8,1198.0,86.7,24.0,5.0,650000
Hyundai i20,Hyundai,i20,2,39000,Dealer,Petrol,Manual,18.6,1197.0,81.83,250.0,5.0,655000
Hyundai i20,Hyundai,i20,5,110000,Individual,Diesel,Manual,22.54,1396.0,88.73,113.0,5.0,600000
Maruti Celerio,Maruti,Celerio,7,35000,Individual,Petrol,Manual,19.62,998.0,67.04,24.0,5.0,350000
Skoda Rapid,Skoda,Rapid,4,50000,Individual,Diesel,Manual,21.13,1498.0,108.6,24.0,5.0,950000
Hyundai Creta,Hyundai,Creta,5,56000,Individual,Diesel,Manual,19.67,1582.0,126.2,250.0,5.0,875000
Hyundai Verna,Hyundai,Verna,2,15000,Individual,Petrol,Manual,17.0,1591.0,121.3,12.7,5.0,1030000
Toyota Glanza,Toyota,Glanza,1,2000,Dealer,Petrol,Automatic,19.56,1197.0,81.8,200.0,5.0,915000
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,5,30000,Dealer,Petrol,Automatic,11.5,1991.0,245.0,190.0,5.0,3800000
